#,"Country,Other",TotalCases,TotalTests,TotalRecovered,Population,TotalCases - PopulationRatio,TotalDeaths - PopulationRatio,TotalTests - PopulationRatio
1,USA,111820082,1186851502,"109,814,428",334805269,0.333985431,0.003642377,3.544900908
2,India,45035393,935879495,0,1406631776,0.032016476,0.000379325,0.665333679
3,France,40138560,271490188,"39,970,918",65584518,0.612012731,0.002556122,4.139546897
4,Germany,38828995,122332384,"38,240,600",83883596,0.462891398,0.002181916,1.458358843
5,Brazil,38743918,63776166,"36,249,161",215353593,0.179908389,0.003303311,0.296146283
6,S. Korea,34571873,15804065,"34,535,939",51329899,0.673523106,0.00070006,0.307891995
7,Japan,33803572,100414883,0,125584838,0.269169213,0.000594769,0.799578075
8,Italy,26723249,281126449,"26,361,218",60262770,0.443445414,0.003260504,4.665010404
9,UK,24910387,522526476,"24,678,275",68497907,0.363666396,0.0033886,7.62835682
10,Russia,24124215,273400000,"23,545,818",145805947,0.16545426,0.002762274,1.875094985
11,Turkey,17232066,162743369,0,85561976,0.201398645,0.001194152,1.902052484
12,Spain,13914811,471036328,"13,762,417",46719142,0.297839609,0.002606212,10.08229834
13,Australia,11853144,81916639,"11,820,014",26068792,0.454687122,0.000936522,3.142325851
14,Vietnam,11625195,85826548,"10,640,971",98953541,0.117481344,0.000436629,0.867341857
15,Taiwan,10241523,30742304,"10,222,518",23888595,0.428720191,0.000795568,1.286902976
16,Argentina,10128845,35716069,"9,997,258",46010234,0.220143306,0.002843737,0.776263581
17,Netherlands,8635786,25984435,"8,612,599",17211447,0.501746657,0.001335855,1.509718213
18,Mexico,7702809,20013810,"6,899,865",131562772,0.058548546,0.002545994,0.152123657
19,Iran,7627186,57320267,0,86022837,0.088664665,0.001706651,0.666337789
20,Indonesia,6829221,114158919,"6,647,104",279134505,0.0244657,0.000580591,0.408974587
21,Poland,6661991,39323709,0,37739785,0.17652435,0.003195514,1.041969608
22,Colombia,6400173,36951507,"6,212,152",51512762,0.124244415,0.002779894,0.717327232
23,Greece,6101379,102228365,0,10316637,0.59141162,0.003670673,9.909078414
